ASV ID,narG_KO,napA_KO,nirS_KO,norB_KO,nosZ_KO,nrfA_KO
ASV_1010,0,0,0,0,1,0
ASV_1013,1,0,0,1,0,0
ASV_1048,0,0,0,0,0,0
ASV_1075,1,0,1,1,1,0
ASV_1111,0,0,0,0,0,0
ASV_111,0,0,0,0,1,0
ASV_1130,0,0,0,0,0,0
ASV_113,0,0,0,0,1,0
ASV_115,0,0,0,0,0,0
ASV_1171,0,0,0,0,0,0
ASV_1173,0,0,0,1,0,0
ASV_118,1,0,0,0,0,0
ASV_1190,0,0,0,0,0,0
ASV_1211,1,0,0,0,0,0
ASV_1230,0,0,0,0,1,0
ASV_1243,0,0,0,0,0,0
ASV_1244,0,0,0,0,0,0
ASV_127,0,0,0,0,0,0
ASV_1327,0,0,0,0,0,0
ASV_1340,0,0,0,0,0,0
ASV_1341,1,0,0,1,0,0
ASV_1395,0,0,0,0,0,0
ASV_140,1,0,0,0,0,0
ASV_1416,1,0,0,0,0,0
ASV_141,1,0,0,1,0,0
ASV_1441,0,1,0,1,1,0
ASV_150,0,0,0,0,0,0
ASV_151,0,0,0,1,0,0
ASV_153,0,0,0,1,0,0
ASV_1541,0,1,0,1,1,0
ASV_157,0,0,0,0,1,0
ASV_15,0,0,0,0,0,0
ASV_161,0,0,0,0,0,0
ASV_166,0,0,0,0,0,0
ASV_1708,0,0,0,1,0,0
ASV_1773,0,0,0,0,0,0
ASV_177,0,0,0,0,0,0
ASV_183,0,0,0,0,0,0
ASV_1842,1,0,0,1,0,0
ASV_186,0,0,0,1,0,0
ASV_190,0,0,0,0,0,0
ASV_198,0,0,0,0,0,0
ASV_1997,0,0,0,0,0,0
ASV_2000,0,0,0,0,0,0
ASV_206,0,0,0,0,0,0
ASV_20,0,0,0,2,1,0
ASV_2130,0,0,0,0,0,1
ASV_2134,1,0,0,2,1,0
ASV_2145,0,0,0,1,0,0
ASV_216,0,0,0,0,0,0
ASV_2225,0,0,0,0,0,0
ASV_223,1,1,0,0,0,0
ASV_2303,1,0,0,1,0,0
ASV_2307,0,0,0,0,0,0
ASV_2387,0,0,0,0,0,0
ASV_23,0,0,0,0,0,0
ASV_2455,0,0,0,0,0,0
ASV_2509,0,0,0,0,0,0
ASV_250,0,0,0,0,1,0
ASV_251,0,0,0,0,0,0
ASV_2545,0,0,0,1,0,0
ASV_255,0,0,0,0,0,0
ASV_25,0,0,0,0,0,0
ASV_2643,1,0,0,0,0,1
ASV_266,1,1,0,0,0,0
ASV_269,0,0,0,0,0,0
ASV_2705,0,0,0,0,0,0
ASV_2879,0,0,0,1,0,0
ASV_28,0,0,0,1,0,0
ASV_301,0,0,0,0,0,0
ASV_303,0,0,0,0,0,0
ASV_305,0,0,0,0,0,0
ASV_3074,0,0,0,0,0,0
ASV_309,0,0,0,0,0,0
ASV_3112,1,0,0,0,0,0
ASV_3131,0,0,0,0,0,0
ASV_313,1,0,0,0,0,0
ASV_319,0,0,0,1,0,0
ASV_3222,0,0,0,0,0,0
ASV_322,0,0,0,1,0,0
ASV_337,1,0,0,0,0,0
ASV_3383,0,0,0,0,0,0
ASV_349,0,0,0,1,0,0
ASV_354,0,0,0,1,0,0
ASV_360,1,0,0,0,0,0
ASV_373,0,0,0,1,0,0
ASV_37,0,0,0,0,0,0
ASV_383,0,0,0,1,0,0
ASV_384,1,0,0,0,0,0
ASV_3873,0,0,0,0,0,0
ASV_3911,1,0,0,1,0,0
ASV_397,0,0,0,0,0,0
ASV_40,0,0,0,1,0,0
ASV_4104,0,0,0,0,0,0
ASV_4119,0,0,0,0,0,0
ASV_417,0,0,0,0,0,0
ASV_4217,0,0,0,0,0,0
ASV_428,0,0,0,0,0,0
ASV_42,0,0,0,2,1,0
ASV_434,0,0,0,0,0,0
ASV_435,0,0,0,0,0,0
ASV_454,0,0,0,1,0,0
ASV_45,1,0,0,1,0,0
ASV_465,0,0,0,0,0,0
ASV_490,1,0,0,0,0,0
ASV_493,0,0,0,0,0,0
ASV_498,0,0,0,0,0,0
ASV_502,0,0,0,0,1,0
ASV_517,0,0,0,0,0,0
ASV_520,0,0,0,0,0,0
ASV_523,0,0,0,0,1,0
ASV_542,0,0,0,0,0,0
ASV_546,0,0,0,0,0,0
ASV_54,0,0,0,0,0,0
ASV_564,1,0,0,0,0,0
ASV_581,0,0,0,0,1,0
ASV_594,0,0,0,0,1,0
ASV_609,0,0,0,2,1,0
ASV_611,0,0,0,0,0,0
ASV_618,1,0,0,0,0,0
ASV_619,0,0,0,0,0,0
ASV_670,1,0,0,1,0,0
ASV_672,0,1,0,1,0,0
ASV_704,0,0,0,0,0,0
ASV_721,0,0,0,0,0,0
ASV_724,0,0,0,0,0,0
ASV_74,0,0,0,1,0,0
ASV_754,0,0,0,0,0,0
ASV_791,1,1,1,1,1,0
ASV_823,1,0,0,1,0,0
ASV_862,0,0,0,0,0,0
ASV_871,0,0,0,0,0,0
ASV_930,0,1,0,1,0,0
ASV_935,0,0,0,0,0,0
ASV_936,0,0,0,0,0,0
ASV_968,0,0,0,0,0,0
ASV_96,0,0,0,0,1,0
ASV_97,0,1,0,1,0,0
